stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,12.26,0,0
72hpf,20.33,0,1.07,9.63,1.07,0
21Day,24.09,0,0,1.34,0,0
3Month,2.24,0,0,0,0,0
22Month,1.09,0.55,0,0,0,0.55
