stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,4.09,0
72hpf,1.07,1.07,0,0,1.07,0
21Day,1.34,1.34,1.34,1.34,0,1.34
