stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,0,0,0,0,16.35,4.09
72hpf,0,1.07,0,0,4.28,2.14
21Day,2.68,1.34,0,1.34,4.02,1.34
22Month,1.09,0,0.55,0,0,1.64
