stage,Epithelial,Erythroid,Muscle,Neuron,Stromal
24hpf,0,0,4.09,0,4.09
72hpf,0,1.07,0,0,0
21Day,2.68,0,5.35,0,0
3Month,1.28,0,0,0.32,0
