stage,Epithelial,Germ,Immune,Muscle,Neuron,Other
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,0,1.07,0
21Day,0,0,1.34,0,0,0
3Month,0.32,0.32,0,0.32,0,0
22Month,2.73,0,1.09,0.55,0,0.55
