stage,Epithelial,Germ,Immune,Neuron,Other,Stromal
72hpf,0,0,0,2.14,0,0
21Day,0,0,0,1.34,0,0
3Month,0.64,0.96,0.64,0,0,0.32
22Month,6.01,1.09,1.09,0,1.09,0
