stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory
21Day,0,2.68,0,1.34,0,1.34,0,8.03
3Month,0,0.64,0,0,4.16,0,0,0.32
22Month,0.55,2.19,1.09,1.09,0,0,0.55,0.55
