stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,12.26,32.69
72hpf,0,5.35,40.65,0,4.28,3.21,0
21Day,0,2.68,2.68,1.34,0,0,0
3Month,0.64,0.32,0,0.32,3.84,0.32,0
