stage,Endothelial,Epithelial,Germ,Neuron,Stromal
24hpf,0,0,0,4.09,0
72hpf,0,4.28,0,1.07,2.14
21Day,1.34,0,0,1.34,0
3Month,0,0,3.2,0,0
