stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,0,0,0,1.07,0,0,0
3Month,0,3.2,0,3.2,0.32,0,0.64,0.64
22Month,0.55,35.53,2.19,9.29,0,1.09,0,1.09
