stage,Endothelial,Epithelial,Immune,Muscle,Neuron
24hpf,0,0,4.09,4.09,0
72hpf,0,0,0,1.07,4.28
21Day,0,5.35,0,0,0
22Month,1.64,5.47,0,0,0
