stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Stromal
21Day,0,1.34,0,0,0,0,2.68
3Month,0.32,2.24,0.32,17.28,0.64,0,0.64
22Month,0.55,3.28,0,22.96,0,0.55,0.55
