stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,8.17,44.95,4.09,0,4.09
72hpf,3.21,0,0,0,7.49,0,0,1.07
21Day,24.09,1.34,2.68,0,5.35,0,1.34,2.68
3Month,1.6,0,0.96,0.32,0,0,0.32,0
