stage,Endothelial,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
21Day,0,1.34,0,12.05,0,0,1.34
3Month,0.32,2.24,0,24.96,0.32,0.32,1.28
22Month,0,1.64,0.55,5.47,0,0,0
