stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0
21Day,5.35,1.34,0,0,0,1.34
3Month,4.48,0,17.92,0.64,0,1.6
22Month,0,0,1.09,0.55,0,0
