stage,Epithelial,Erythroid,Neuron,Other,Stromal
24hpf,0,0,24.52,0,0
72hpf,0,1.07,35.3,0,6.42
21Day,1.34,0,5.35,0,2.68
3Month,0.96,0,0,0,0
22Month,0,0,0,0.55,0
