stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,16.35,0,0
72hpf,0,0,0,0,0,7.49,0,2.14
21Day,0,0,4.02,1.34,0,54.88,0,0
3Month,0,0.64,0,0.32,0,0.32,0,0.64
22Month,0.55,6.56,0.55,2.19,1.64,13.12,0.55,2.19
