stage,Endothelial,Epithelial,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,12.26,0,4.09
72hpf,1.07,0,0,21.4,0,2.14
21Day,1.34,0,0,12.05,0,0
3Month,0,0.64,0.32,0.32,0.32,0
22Month,0,1.64,0,0,0,0
