stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,4.09,4.09,0,8.17
72hpf,2.14,0,0,1.07,9.63,0,0,31.02
21Day,0,0,0,4.02,4.02,0,1.34,17.4
3Month,0.64,0,0.32,0.32,0,0,0,0.32
22Month,2.73,0.55,0,0,0,0,0,0
