stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,4.09,0,0,0,0,69.47,0,8.17
72hpf,4.28,0,0,0,0,48.14,0,0
21Day,1.34,0,0,0,1.34,20.08,1.34,0
3Month,4.8,0,13.12,2.24,0.64,0.64,0,0.32
22Month,5.47,0.55,4.37,1.09,0,1.09,0,1.09
