stage,Endothelial,Epithelial,Erythroid,Immune,Neuron
24hpf,0,8.17,0,0,0
72hpf,0,10.7,1.07,0,1.07
21Day,1.34,41.49,0,1.34,0
3Month,0,0.96,0,0,0
22Month,0,1.64,0,0,0
