stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,4.09,0,0,0
72hpf,8.56,0,0,1.07,6.42,0,0,221.45
21Day,1.34,1.34,2.68,1.34,2.68,1.34,0,164.64
3Month,1.92,0,1.6,0,0,0,0.64,19.52
22Month,0,1.09,0.55,0,0,0,0,1.09
