stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,8.17,0,4.09,0,8.17,0,0,12.26
72hpf,3.21,0,0,1.07,3.21,0,0,2.14
21Day,2.68,0,0,0,5.35,0,0,2.68
3Month,24.96,20.48,3.2,0.64,0.64,0.32,0.64,0.96
22Month,8.75,1.64,0,0,9.84,1.09,0,0
