stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,4.09,0,0,0,0
72hpf,0,0,0,2.14,0
21Day,1.34,0,1.34,4.02,1.34
3Month,0,0.32,0.64,0,0
22Month,1.09,0,3.28,0,0
