stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,53.12,0,0
72hpf,0,0,0,0,3.21,0,3.21
21Day,0,1.34,0,1.34,0,0,2.68
3Month,1.92,0,0.64,0,0,0.32,0
