stage,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
72hpf,0,0,0,1.07,0,0
21Day,5.35,0,0,0,0,0
3Month,2.24,0.32,0.64,0,0,0
22Month,4.37,1.09,0,0,0.55,0.55
