stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,0,0,0,49.04,0
72hpf,1.07,0,1.07,36.37,3.21
21Day,0,1.34,0,22.76,0
3Month,0,0.64,0,0,0
22Month,0,3.28,0,0,0
