stage,Epithelial,Erythroid,Immune,Neuron,Other
72hpf,0,0,1.07,5.35,0
21Day,0,0,2.68,4.02,0
3Month,2.24,0.32,0.32,0,0
22Month,2.73,0,2.73,0,0.55
