stage,Epithelial,Erythroid,Germ,Neuron,Secretory
24hpf,0,0,0,4.09,0
72hpf,0,1.07,0,8.56,0
21Day,0,0,0,4.02,0
3Month,0,0,0.64,0,0.32
22Month,0.55,0,0.55,0,0
