stage,Epithelial,Erythroid,Immune,Neuron
24hpf,0,0,4.09,0
72hpf,0,0,0,1.07
21Day,0,0,0,1.34
3Month,2.56,0.32,0,0
22Month,3.83,1.09,2.19,0
