stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,20.43,0,0,0
72hpf,0,2.14,0,0,2.14,0,0,0
21Day,0,5.35,0,0,2.68,0,0,1.34
3Month,0,10.88,0.32,0.96,0,0,0,0
22Month,0.55,5.47,0.55,1.64,0,0.55,0.55,0
