stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,0,8.17,0
72hpf,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0
3Month,0.32,3.52,0.32,0.32,0,0
22Month,0,3.28,0,0.55,0,0.55
