stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,16.35,0,0,4.09,16.35,0,0,4.09
72hpf,0,1.07,0,0,1.07,0,0,0,0
3Month,0,0.32,0.32,0,0,0,0,0,0
22Month,1.64,21.87,103.86,4.37,0,1.09,3.83,1.09,1.64
