stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,0,1.34,0,0,0,1.34,0,0,0
3Month,0.32,79.03,0,15.68,3.52,0.32,0,0.64,0.96
22Month,0,12.57,0.55,1.09,3.28,0,0.55,0.55,0
