stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0
21Day,0,4.02,0,4.02,1.34,0,0
3Month,0.32,1.6,0,0,0,0,0
22Month,1.09,1.64,0,0.55,0,0.55,1.09
