stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,36.78,0,8.17
72hpf,1.07,2.14,0,12.84,0,0
21Day,2.68,5.35,0,1.34,1.34,4.02
3Month,0.64,0,0.96,0,0,0
