stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,4.09,0,0,8.17,0,0
72hpf,0,0,0,0,1.07,0,0
21Day,0,1.34,1.34,0,0,0,2.68
22Month,0.55,6.01,0,0.55,0,1.09,0.55
