stage,Endothelial,Epithelial,Germ,Immune,Secretory,Stromal
24hpf,0,0,0,0,0,4.09
72hpf,0,0,0,0,0,1.07
21Day,0,1.34,0,6.69,0,1.34
3Month,0.32,10.24,2.24,48.95,1.28,0.32
22Month,0,11.48,2.19,1.64,0,0
