stage,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,4.09,0,0,40.86,0
72hpf,1.07,0,0,24.61,1.07
21Day,1.34,2.68,0,24.09,4.02
3Month,0.64,0.32,0.32,0,0
22Month,1.09,1.09,0,0,0.55
