stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory
72hpf,3.21,1.07,0,0,1.07,0,0
21Day,1.34,0,0,2.68,0,0,0
3Month,4.48,0.64,0.32,0.64,0,0,0.64
22Month,6.01,0,0,0.55,0,0.55,0.55
