stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory
24hpf,8.17,0,0,0,8.17,0,0
72hpf,2.14,0,0,0,6.42,0,0
21Day,0,0,0,0,1.34,0,0
3Month,4.16,0.32,0.32,0.32,0,0,0.32
22Month,6.01,0,0,1.64,0,0.55,0
