stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,4.09,0,0,0,20.43,0,0,4.09
72hpf,0,2.14,0,0,4.28,1.07,0,0
21Day,2.68,0,0,1.34,2.68,0,0,0
3Month,3.84,0,21.76,0.32,0,0,0.32,0
22Month,14.21,0,0,0,0,0,0,0.55
