stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,4.09,0,0,4.09,0,0,0
72hpf,0,1.07,0,1.07,19.26,0,1.07,0
21Day,0,0,1.34,0,9.37,0,1.34,0
3Month,0,12.8,14.08,1.6,0.32,0,3.52,1.28
22Month,1.64,32.25,14.76,6.01,0.55,0.55,3.83,1.64
