stage,Epithelial,Erythroid,Germ,Immune,Other,Secretory,Stromal
24hpf,4.09,0,0,0,0,0,0
72hpf,13.91,0,0,0,0,0,0
21Day,10.71,1.34,0,0,0,0,0
3Month,2.88,0,2.56,0.32,0,0.32,0.64
22Month,2.73,0,0,0,0.55,0,0
