stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,0,0,0,4.28,0,0
21Day,0,0,0,1.34,1.34,0,0
3Month,0,0.64,0.32,0,0,0,0
22Month,0.55,2.73,0.55,0.55,0,0.55,1.64
