stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Stromal
24hpf,4.09,12.26,0,0,0,12.26,4.09,16.35
72hpf,0,3.21,1.07,0,0,3.21,0,1.07
21Day,0,6.69,0,0,1.34,1.34,0,1.34
3Month,0,6.72,0,27.84,0.32,0,0,0.96
