stage,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,4.09,0,0,0,4.09,4.09
3Month,0.96,11.84,0.32,0.32,0,0
22Month,1.64,3.28,1.09,0,0,1.09
