stage,Epithelial,Immune,Muscle,Other,Secretory,Stromal
72hpf,5.35,0,0,0,0,0
21Day,6.69,1.34,0,0,1.34,2.68
3Month,9.6,0.64,0.32,0,0,0
22Month,4.37,0.55,0,0.55,0,0
