stage,Epithelial,Erythroid,Germ,Immune,Other,Stromal
24hpf,4.09,0,0,4.09,0,0
72hpf,2.14,0,0,0,0,0
21Day,2.68,0,0,10.71,0,0
3Month,3.2,0,0.32,10.56,0,0
22Month,6.01,0.55,0,4.37,1.09,0.55
