stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,0,0,0,8.56,0,0,2.14
21Day,0,1.34,0,0,0,0,0,0
3Month,0.32,15.04,0.32,0,0,0,0.64,0
22Month,1.64,31.16,1.09,3.28,0,0.55,0,1.09
