stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,4.09,0,0
72hpf,3.21,0,0,0,0,8.56,0,2.14
21Day,4.02,1.34,0,2.68,1.34,14.72,1.34,2.68
3Month,0,0,2.88,0,0,0.32,0,0
22Month,3.83,0,0,1.09,0,0,0,0
