stage,Endothelial,Epithelial,Germ,Immune,Secretory
24hpf,0,4.09,0,0,0
72hpf,1.07,0,0,0,0
21Day,0,0,0,0,1.34
3Month,0,3.2,19.2,0.32,0
22Month,0,0.55,1.09,0,0
