stage,Epithelial,Immune,Neuron,Other,Stromal
24hpf,8.17,0,40.86,0,8.17
72hpf,1.07,0,6.42,1.07,2.14
21Day,1.34,1.34,8.03,0,1.34
22Month,1.09,0,0,0.55,0
