stage,Endothelial,Epithelial,Germ,Immune,Muscle,Stromal
72hpf,1.07,1.07,0,0,7.49,0
21Day,0,0,0,0,9.37,0
3Month,0,0.64,0.32,0,0,0
22Month,0,7.11,0,1.09,0.55,0.55
