stage,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,3.21,0,0,3.21,0,1.07
21Day,10.71,0,1.34,0,0,4.02
3Month,16.32,0.96,3.52,0,2.56,4.48
22Month,11.48,0.55,0.55,0,1.09,2.73
