stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,4.09,49.04,0,20.43,355.52,0,53.12
72hpf,0,0,0,1.07,18.19,0,2.14
21Day,0,1.34,1.34,0,13.39,1.34,5.35
3Month,0,0.32,0.96,0,0,1.28,0
