stage,Epithelial,Erythroid,Immune,Other,Stromal
24hpf,4.09,0,0,0,0
72hpf,4.28,0,0,0,0
21Day,8.03,0,0,0,0
22Month,1.09,0.55,1.09,1.09,0.55
