stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
72hpf,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,8.03,1.34,0,1.34
3Month,0.32,5.44,0.32,0.64,23.04,0,0.32,1.6
22Month,0,4.92,1.09,0.55,14.76,0,0.55,0
