stage,Epithelial,Germ,Neuron,Other,Stromal
24hpf,0,0,20.43,0,0
72hpf,0,0,0,0,1.07
3Month,0.96,0.32,0,0,0.96
22Month,2.73,5.47,0,3.28,0
