stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,8.17,0
21Day,1.34,1.34,0,0,2.68,0
3Month,1.28,29.44,0.64,0.32,0,0.32
22Month,0,3.83,0,0,0,0
