stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,1.07,0,0,40.65,0
21Day,1.34,0,1.34,0,16.06,1.34
22Month,0,0,0,0.55,2.73,0
