stage,Epithelial,Germ,Immune,Neuron,Other,Secretory
24hpf,0,0,4.09,0,0,0
21Day,0,0,0,13.39,0,0
3Month,0.64,1.28,0,0,0,0
22Month,2.73,0,0,0.55,0.55,1.09
