stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
21Day,0,0,0,0,0,0,1.34,0
3Month,0,7.04,0,0.96,0,0,0,0.32
22Month,0.55,19.68,0.55,4.37,1.09,1.09,0,2.19
