stage,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
24hpf,0,0,0,0,0,4.09
72hpf,3.21,0,0,0,2.14,0
21Day,2.68,0,2.68,0,0,5.35
3Month,0.64,0.32,22.72,1.28,0,0
22Month,1.09,0,0,0.55,0,0
